date,PriceUSD
22/07/2011,13.69854733
23/07/2011,13.68171834
24/07/2011,13.99251518
25/07/2011,14.03342538
26/07/2011,13.87803232
27/07/2011,13.87822476
28/07/2011,13.49159108
29/07/2011,13.51231639
30/07/2011,13.54028067
31/07/2011,13.3729061
1/08/2011,13.01911385
2/08/2011,12.21415644
3/08/2011,9.286356914
4/08/2011,10.76850375
5/08/2011,9.73015396
6/08/2011,6.964169736
7/08/2011,8.501793292
8/08/2011,7.775337638
9/08/2011,9.802499481
10/08/2011,10.05125313
11/08/2011,9.438412995
12/08/2011,9.452993285
13/08/2011,10.00402474
14/08/2011,10.80682077
15/08/2011,11.13069655
16/08/2011,10.99196557
17/08/2011,10.96396406
18/08/2011,10.85847146
19/08/2011,11.67047304
20/08/2011,11.45973174
21/08/2011,11.35448134
22/08/2011,10.92089582
23/08/2011,10.91724505
24/08/2011,10.87044429
25/08/2011,9.546093674
26/08/2011,8.126920163
27/08/2011,8.596497607
28/08/2011,9.0308664
29/08/2011,8.961157271
30/08/2011,8.809948738
31/08/2011,8.199151764
1/09/2011,8.234281665
2/09/2011,8.621424438
3/09/2011,8.449653441
4/09/2011,8.203470602
5/09/2011,7.597332525
6/09/2011,6.846530029
7/09/2011,7.162970274
8/09/2011,6.67818
9/09/2011,4.986777042
10/09/2011,4.742846655
11/09/2011,5.852903973
12/09/2011,6.090629472
13/09/2011,5.802523277
14/09/2011,5.59743261
15/09/2011,4.867755185
16/09/2011,4.831168101
17/09/2011,4.775285635
18/09/2011,5.236732278
19/09/2011,5.520376692
20/09/2011,6.146665552
21/09/2011,5.597067498
22/09/2011,5.475048777
23/09/2011,5.56342142
24/09/2011,5.457889687
25/09/2011,5.341154881
26/09/2011,4.873826081
27/09/2011,4.911157793
28/09/2011,4.763415321
29/09/2011,4.777660978
30/09/2011,5.14368591
1/10/2011,5.034070545
2/10/2011,5.007062597
3/10/2011,5.02284486
4/10/2011,4.956805621
5/10/2011,4.885067131
6/10/2011,4.730166296
7/10/2011,4.276035757
8/10/2011,3.981252994
9/10/2011,4.111634643
10/10/2011,4.074962484
11/10/2011,4.008924496
12/10/2011,4.166235342
13/10/2011,4.03698109
14/10/2011,3.986280885
15/10/2011,3.83733856
16/10/2011,3.609741717
17/10/2011,2.581246722
18/10/2011,2.422274738
19/10/2011,2.217254713
20/10/2011,2.356123508
21/10/2011,2.570092305
22/10/2011,3.155486139
23/10/2011,3.14775093
24/10/2011,2.522935998
25/10/2011,2.801923831
26/10/2011,2.777505239
27/10/2011,3.045407828
28/10/2011,3.179639437
29/10/2011,3.569188969
30/10/2011,3.257403723
31/10/2011,3.265098213
1/11/2011,3.171007743
2/11/2011,3.255800567
3/11/2011,3.168316385
4/11/2011,3.120118172
5/11/2011,2.977817598
6/11/2011,2.962720577
7/11/2011,3.017757687
8/11/2011,3.056567111
9/11/2011,2.919567224
10/11/2011,2.856702085
11/11/2011,3.067861733
12/11/2011,3.025522996
13/11/2011,2.986373303
14/11/2011,2.224224464
15/11/2011,2.322384116
16/11/2011,2.546780931
17/11/2011,2.279095836
18/11/2011,2.105066003
19/11/2011,2.203456722
20/11/2011,2.20198951
21/11/2011,2.279879165
22/11/2011,2.322458596
23/11/2011,2.330323568
24/11/2011,2.438879
25/11/2011,2.496161003
26/11/2011,2.471799969
27/11/2011,2.477564951
28/11/2011,2.541240252
29/11/2011,2.757698483
30/11/2011,2.966041546
1/12/2011,3.08258945
2/12/2011,3.100402333
3/12/2011,2.803856185
4/12/2011,2.819693976
5/12/2011,2.874796227
6/12/2011,3.025360451
7/12/2011,2.985502421
8/12/2011,2.991880483
9/12/2011,2.955791952
10/12/2011,3.068975267
11/12/2011,3.249268847
12/12/2011,3.187335357
13/12/2011,3.241088409
14/12/2011,3.155086504
15/12/2011,3.203138541
16/12/2011,3.209137777
17/12/2011,3.192541704
18/12/2011,3.194010809
19/12/2011,3.525773919
20/12/2011,3.952550827
21/12/2011,3.888993251
22/12/2011,3.903060421
23/12/2011,3.937965076
24/12/2011,3.939419119
25/12/2011,4.233866878
26/12/2011,3.999121964
27/12/2011,4.095518546
28/12/2011,4.207295876
29/12/2011,4.173352227
30/12/2011,4.31063509
31/12/2011,4.714306331
1/01/2012,5.294842777
2/01/2012,5.204877892
3/01/2012,4.870508829
4/01/2012,5.585706267
5/01/2012,6.874000877
6/01/2012,6.68331664
7/01/2012,6.796227981
8/01/2012,7.096650566
9/01/2012,6.288538342
10/01/2012,6.528474555
11/01/2012,6.889127721
12/01/2012,6.773564196
13/01/2012,6.45436889
14/01/2012,6.761727143
15/01/2012,7.046922558
16/01/2012,6.715607667
17/01/2012,5.59962195
18/01/2012,5.900231288
19/01/2012,6.315706342
20/01/2012,6.501491988
21/01/2012,6.180568326
22/01/2012,6.302967227
23/01/2012,6.374876077
24/01/2012,6.274476476
25/01/2012,5.810465072
26/01/2012,5.367226954
27/01/2012,5.303137197
28/01/2012,5.659796775
29/01/2012,5.391429457
30/01/2012,5.503481939
31/01/2012,5.538220296
1/02/2012,6.075232652
2/02/2012,6.099572913
3/02/2012,5.951610928
4/02/2012,5.895413239
5/02/2012,5.678115717
6/02/2012,5.482664058
7/02/2012,5.6620277
8/02/2012,5.61852819
9/02/2012,5.835699854
10/02/2012,5.937834155
11/02/2012,5.612132853
12/02/2012,5.519097169
